date,Open,High,Low,Close,Volume
2025-01-02,11.73,11.77,11.39,11.43,1819596.99
2025-01-03,11.44,11.54,11.36,11.38,1154680.44
2025-01-06,11.38,11.48,11.22,11.44,1085536.3
2025-01-07,11.42,11.53,11.37,11.51,747862.88
2025-01-08,11.5,11.63,11.4,11.5,1062386.01
2025-01-09,11.5,11.5,11.35,11.4,751483.3
2025-01-10,11.4,11.46,11.28,11.3,798133.51
2025-01-13,11.25,11.26,11.08,11.2,934966.18
2025-01-14,11.2,11.4,11.19,11.38,824628.95
2025-01-15,11.38,11.58,11.36,11.48,1031630.82
2025-01-16,11.55,11.59,11.47,11.57,872963.99
2025-01-17,11.53,11.55,11.42,11.45,689764.86
2025-01-20,11.5,11.52,11.4,11.42,832029.13
2025-01-21,11.45,11.45,11.32,11.33,902068.94
2025-01-22,11.32,11.33,11.08,11.09,1347129.22
2025-01-23,11.17,11.4,11.17,11.32,1514920.27
2025-01-24,11.32,11.39,11.22,11.34,944944.21
2025-01-27,11.38,11.55,11.38,11.47,1151934.71
2025-02-05,11.5,11.52,11.33,11.37,843433.7
2025-02-06,11.35,11.45,11.3,11.36,955603.25
2025-02-07,11.36,11.45,11.31,11.38,1407492.62
2025-02-10,11.38,11.5,11.36,11.43,1026590.93
2025-02-11,11.4,11.47,11.37,11.42,844520.03
2025-02-12,11.41,11.43,11.34,11.42,988806.83
2025-02-13,11.42,11.55,11.4,11.5,1358639.27
2025-02-14,11.49,11.55,11.43,11.55,973057.74
2025-02-17,11.6,11.8,11.55,11.78,2061965.42
2025-02-18,11.76,11.96,11.76,11.81,1996610.49
2025-02-19,11.8,11.81,11.68,11.71,1177748.95
2025-02-20,11.71,11.76,11.65,11.66,784396.27
2025-02-21,11.69,11.71,11.55,11.64,973968.97
2025-02-24,11.63,11.69,11.56,11.59,949956.17
2025-02-25,11.56,11.58,11.46,11.47,917156.02
2025-02-26,11.47,11.6,11.47,11.52,841645.52
2025-02-27,11.53,11.63,11.46,11.62,977309.75
2025-02-28,11.58,11.68,11.5,11.53,949088.06
2025-03-03,11.52,11.56,11.45,11.51,830456.95
2025-03-04,11.47,11.55,11.44,11.51,683178.73
2025-03-05,11.52,11.67,11.48,11.66,1080645.44
2025-03-06,11.69,11.7,11.6,11.63,877407.71
2025-03-07,11.63,11.69,11.6,11.67,835536.69
2025-03-10,11.66,11.67,11.55,11.59,663833.93
2025-03-11,11.54,11.61,11.52,11.61,608975.27
2025-03-12,11.6,11.87,11.56,11.85,1877318.4
2025-03-13,11.81,11.91,11.78,11.84,1312371.21
2025-03-14,11.82,12.0,11.82,11.97,1722417.65
2025-03-17,11.63,11.67,11.46,11.5,4603612.1
2025-03-18,11.52,11.54,11.48,11.49,1605290.0
2025-03-19,11.48,11.53,11.46,11.52,1362454.91
2025-03-20,11.51,11.61,11.49,11.49,1101157.24
2025-03-21,11.49,11.52,11.39,11.42,1376388.97
2025-03-24,11.41,11.44,11.34,11.38,1164577.34
2025-03-25,11.38,11.43,11.36,11.43,735608.88
2025-03-26,11.42,11.43,11.37,11.38,740863.07
2025-03-27,11.37,11.41,11.35,11.39,553349.4
2025-03-28,11.39,11.4,11.34,11.35,644945.55
2025-03-31,11.36,11.38,11.26,11.26,1116125.64
2025-04-01,11.27,11.3,11.22,11.27,681470.42
2025-04-02,11.25,11.41,11.25,11.37,932641.76
2025-04-03,11.31,11.39,11.3,11.34,643913.91
2025-04-07,11.0,11.05,10.48,10.7,2545560.48
2025-04-08,10.68,10.85,10.66,10.82,1463987.71
2025-04-09,10.73,10.83,10.66,10.8,1064394.05
2025-04-10,10.86,10.93,10.82,10.9,866548.05
