date,Open,High,Low,Close,Volume
2025-01-02,34.8,34.8,33.4,34.0,182385452.0
2025-01-03,34.45,36.3,34.0,36.25,338723918.0
2025-01-06,35.9,36.85,35.65,36.3,166161841.0
2025-01-07,36.05,36.1,32.75,34.15,432841993.0
2025-01-08,33.7,34.15,32.2,32.8,298899129.0
2025-01-09,32.7,34.3,32.65,33.75,171639459.0
2025-01-10,33.75,34.5,33.4,33.55,122895840.0
2025-01-13,33.2,33.5,32.3,32.8,126426992.0
2025-01-14,32.75,34.15,32.75,33.75,122182323.0
2025-01-15,33.75,34.0,33.35,33.6,79201609.0
2025-01-16,34.1,34.8,33.55,34.35,137814016.0
2025-01-17,34.4,35.0,34.1,34.95,94838569.0
2025-01-20,35.65,35.8,34.3,34.7,166721242.0
2025-01-21,35.0,36.1,34.75,35.9,136275839.0
2025-01-22,36.0,36.2,35.2,35.3,106122696.0
2025-01-23,35.7,35.75,34.25,34.5,124771415.0
2025-01-24,34.75,37.3,34.5,36.85,288470060.0
2025-01-27,37.65,37.65,36.55,37.1,154106703.0
2025-01-28,37.85,38.45,37.55,38.3,84927933.0
2025-02-03,38.9,39.2,37.2,37.95,143592266.0
2025-02-04,38.7,40.1,38.5,39.55,141166344.0
2025-02-05,39.95,39.95,38.7,39.65,165406601.0
2025-02-06,39.8,40.7,39.4,40.55,174418873.0
2025-02-07,40.7,43.05,40.55,42.45,282921470.0
2025-02-10,42.7,43.95,42.15,43.75,178623301.0
2025-02-11,44.0,44.3,42.25,42.55,210014328.0
2025-02-12,43.9,44.55,42.65,44.1,196220080.0
2025-02-13,43.9,44.6,41.2,41.65,382423053.0
2025-02-14,42.4,44.9,42.05,44.7,349956076.0
2025-02-17,45.0,45.45,43.55,45.15,273310085.0
2025-02-18,45.15,48.4,44.7,48.4,325734161.0
2025-02-19,48.0,49.5,47.0,49.45,243337561.0
2025-02-20,49.45,50.9,48.0,49.15,275542159.0
2025-02-21,50.05,51.95,49.7,51.7,308362585.0
2025-02-24,52.2,52.35,51.05,51.6,208345620.0
2025-02-25,49.8,53.9,49.8,53.2,332349383.0
2025-02-26,54.25,56.8,53.1,56.3,395453828.0
2025-02-27,56.6,58.7,51.4,53.1,842011809.0
2025-02-28,55.75,55.75,50.65,51.85,667093154.0
2025-03-03,52.9,53.0,49.55,50.95,466253103.0
2025-03-04,49.05,51.6,48.65,50.55,338725813.0
2025-03-05,52.0,54.2,51.3,54.2,337625486.0
2025-03-06,55.3,56.3,53.85,54.9,375438239.0
2025-03-07,54.6,55.5,53.1,54.35,355629253.0
2025-03-10,54.0,54.5,52.35,52.85,223961425.0
2025-03-11,50.85,54.0,50.7,53.9,223343033.0
2025-03-12,53.85,54.7,51.5,52.05,241938609.0
2025-03-13,52.05,53.4,51.6,52.85,187000372.0
2025-03-14,53.0,54.6,52.55,53.85,229901198.0
2025-03-17,54.35,55.8,53.3,55.8,221496225.0
2025-03-18,56.75,57.95,56.15,57.65,258147732.0
2025-03-19,57.0,59.45,56.4,58.2,371387356.0
2025-03-20,58.0,58.65,56.1,56.5,254323500.0
2025-03-21,56.6,56.85,54.05,54.7,271392247.0
2025-03-24,55.25,57.1,54.9,57.0,206959960.0
2025-03-25,53.85,55.0,53.25,53.4,1341045814.0
2025-03-26,53.5,54.3,53.5,53.95,180066074.0
2025-03-27,53.9,54.05,51.4,51.7,359693846.0
2025-03-28,51.0,52.15,49.6,51.05,369242633.0
2025-03-31,50.15,50.7,48.45,49.2,342788934.0
2025-04-01,49.4,50.0,46.1,46.5,590405454.0
2025-04-02,46.0,47.5,44.4,44.55,635758232.0
2025-04-03,43.8,46.6,43.45,45.9,449295312.0
2025-04-07,40.2,43.25,36.05,36.45,1037869822.0
2025-04-08,38.55,39.85,37.45,38.9,715006887.0
2025-04-09,37.8,42.4,36.6,41.9,679302084.0
2025-04-10,44.8,45.0,42.6,43.05,526260423.0
